RANK,CITY,POPULATION,POPULATION GROWTH 2008 TO 2013,UNEMPLOYMENT RATE (%),AVERAGE HOUSEHOLD INCOME,AVERAGE DISCRETIONARY INCOME,AVERAGE HOUSEHOLD NET WORTH,AVERAGE HOUSE PRICES,AVERAGE YEARS TO BUY A HOME,PROPERTY TAX (%),AVERAGE PROPERTY TAX,PROPERTY TAX AS A OF AVERAGE HOUSEHOLD INCOME,SALES TAX,INCOME TAX ($),NEW CARS,NEW LUXURY CARS,WALK TO WORK (%),BIKE TO WORK (%),TAKE PUBLIC TRANSIT TO WORK (%),TOTAL RAINFALL (mm),DAYS PER YEAR WITH PRECIPITATION,DAYS PER YEAR WITH RAIN,DAYS ABOVE 0C,DAYS ABOVE 20C,DAYS BELOW MINUS 20C,MEAN DAILY TEMP.,DAYS ABOVE 24C,FIVE-YEAR CHANGE IN CRIME RATE,"CRIME RATE PER 100,000",CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NUMBER OF MEDICAL OFFICES PER '000,EMPLOYED IN HEALH CARE (%),DOCTORS PER '000,EMPLOYED IN ARTS & REC (%)
105,"Kenora, Ont.",16785,0.101,7.6,80973.47,42953.48,266464,239812,2.96,2.13,1764,0.0218,0.13,8694,0.1649,0.0023,8.61,0.93,0.93,565.27,152.85,89.45,185.5,91.16,45.27,3.11,10.38,3.3779,10796.82,93.02,115.49,1.37,4.87,1.91,0.58
106,"Cold Lake, Alta.",15325,0.155,3.4,111425.03,57419.86,241603,276515,2.48,2.12,2377,0.0213,0.05,9474,0.2152,0.007,6.45,1.66,0.36,319.19,117.64,71.42,165.6,85.51,43.74,2.09,1.12,-0.0602,17226.14,130.98,96.79,0.52,2.27,1.37,1.38
107,"Timmins, Ont.",44683,0.015,7.3,80905.89,42365.9,242157,212070,2.62,2.07,1707,0.0211,0.13,8694,0.2313,0.0042,8.37,0.97,4.06,558.3,183.59,107.21,158.7,88.62,57.97,1.8,4,-0.0482,8463.75,112.44,161.67,1.01,3.87,1.61,0.82
108,"Sarnia, Ont.",93512,0.019,10.2,84993.7,46433.32,316645,206921,2.43,2.33,2000,0.0235,0.13,8694,0.1429,0.0097,5.08,1.85,1.9,769.99,149.98,116.68,232.5,120.81,2.29,8.34,23.68,0.0214,7472.75,78.02,80.35,0.96,3.76,1.59,1.1
109,"Thunder Bay, Ont.",126257,0,8.4,75358.39,38551.9,267786,231965,3.08,2.14,1637,0.0217,0.13,8694,0.1598,0.0065,5.71,1.47,2.93,539.97,142.86,90.74,161.9,85.48,45.17,2.68,1.71,-0.1746,7580.67,89.38,121.16,1.28,4.89,2.39,1.41
110,"Terrace, B.C.",16034,0.013,8,67761.74,36174.89,201976,178333,2.63,1.99,1360,0.0201,0.12,8611,0.214,0.0014,8.79,1.03,1.39,1025.27,206.84,172.44,248.4,54.82,1.42,6.59,1.62,-0.0545,21784.5,145.19,129.54,1.31,4.32,2.43,1.75
111,"North Bay, Ont.",67165,0.022,8.6,75936.45,39186.1,271730,264953,3.49,2.1,1634,0.0215,0.13,8694,0.2107,0.0067,8.9,1.31,4.51,802.75,180.32,115.74,189.8,91.31,29.49,4.22,4.03,0.0212,6300.94,68.44,63.38,1.18,4.16,2.11,1.12
112,"Tillsonburg, Ont.",16263,0.049,7.2,71939.89,39016.44,362985,216549,3.01,2.89,2070,0.0288,0.13,8694,0.1497,0.0085,7.51,1.31,0.2,906.39,148.26,116.94,217,121.98,4.13,7.98,17.15,-0.2566,4241.35,44.09,48.34,1.41,3.01,1.48,0.82
113,"Charlottetown, PEI",69875,0.115,9.9,72471.55,36574.28,243127,222730,3.07,2.03,1486,0.0205,0.14,11117,0.1823,0.0067,7.69,1.08,0.83,887.07,182.36,130.78,205,79.32,6.53,5.65,1.04,0.062,10808.72,95.1,51.63,1.73,5.03,2.58,2
114,"Swift Current, Sask.",18162,0.061,4.1,74189.65,34951.75,388423,315250,4.25,2.08,1573,0.0212,0.1,10195,0.1398,0.0055,5.8,0.73,0.45,285.33,120.16,68.48,173.7,99.03,29.46,4.09,6.02,0.0087,12724.42,121.68,58.94,0.83,4.1,2.7,1.07
115,"Granby, Que.",80992,0.091,6.1,66381.57,31249.74,249857,216192,3.26,2.28,1494,0.0225,0.1498,11302,0.1704,0.0109,5.53,1.02,0.78,944.28,178.64,127.35,210.2,105.83,16.22,6.28,9.97,-0.1186,4664.83,56.66,47.44,0.83,3.69,1.95,1.54
116,"Pembroke, Ont.",25207,0.041,7.2,72512.46,38136.84,267989,250264,3.45,2.07,1529,0.0211,0.13,8694,0.1548,0.0047,7.13,1.35,1,620.6,170.15,115.01,180.7,111.15,39.27,4.49,7.11,-0.1448,6663.06,57.73,61.15,0.91,4.02,1.71,1.53
117,"Dollard-Des Ormeaux, Que.",50392,0.015,8,99465.72,43666.54,504408,420146,4.22,2.4,2301,0.0231,0.1498,11302,0.2248,0.0489,2.29,0.45,15.45,784.93,163.32,119.11,217.5,117.05,14.26,6.75,17.55,-0.203,5786.98,91.83,119.32,0.28,3.61,2.34,2.1
118,"Rouyn-Noranda, Que.",43291,0.051,6,71108.69,33263.63,220314,231346,3.25,2.27,1601,0.0225,0.1498,11302,0.2091,0.0053,9.62,1.17,1.11,651.24,183.19,118.76,163.3,83.29,61,1.72,1.98,-0.1137,5767.69,69.27,59.73,0.95,3.4,2.15,1.4
119,"Strathmore, Alta.",13225,0.161,5.7,91508.76,45750.66,462518,300820,3.29,2.2,2000,0.0219,0.05,9474,0.1424,0.0048,6.26,0.58,1.03,326.4,111.77,67.89,170.8,87.21,21.7,4.43,0.16,-0.1586,12470.24,106.38,81.72,0.68,3.73,2.51,0.81
120,"Barrie, Ont.",198706,0.047,8.4,88713.53,42684.35,351102,318596,3.59,2.69,2411,0.0272,0.13,8694,0.1969,0.0116,3.6,0.47,3.44,709.92,156.12,114.36,207.8,112.54,12.2,6.94,15.48,-0.1956,5565.29,56.94,53.52,0.99,3.5,1.45,1.57
121,"Thompson, Man.",13711,-0.051,5.5,98393.22,48496.98,118638,203597,2.07,1.92,1927,0.0196,0.13,11036,0.2141,0.0028,10.33,0.68,0.64,340.18,144.26,74.94,126.7,66.93,100,-2.85,1.25,-0.0064,40979.73,264.87,336.64,0.29,3.65,2.84,0.85
122,"Brantford, Ont.",142829,0.042,7.6,77970.08,39116.86,315656,279010,3.58,2.72,2130,0.0273,0.13,8694,0.1489,0.007,4.49,1.04,2.83,769.62,135.6,114.02,218.2,124.55,5,8.09,19.03,-0.1109,8348.16,100.31,67.73,0.78,4.07,1.43,1.22
123,"Brooks, Alta.",24506,0.015,5.5,94557.13,48851.11,366892,253867,2.68,2.04,1925,0.0204,0.05,9474,0.1508,0.0039,5.51,0.93,0.19,230.97,92.41,65.32,174.6,115.39,29.24,5.11,3.99,-0.0375,11035.96,97.2,106.22,0.78,2.68,0.86,1
124,"New Westminster, B.C",70988,0.116,7.9,70966.91,29362.56,316799,484887,6.83,1.83,1356,0.0191,0.12,8611,0.1322,0.0132,5.84,0.6,26.54,1920.65,183.1,175.36,320.3,57.03,0,9.61,2.21,-0.1675,9772.76,104.75,105.02,1.63,4.29,2.46,2.44
125,"Vernon, B.C.",61731,0.059,9.2,70229.56,35054.9,468319,375190,5.34,2.17,1547,0.022,0.12,8611,0.1195,0.0058,6.58,1.74,0.63,333.29,135.78,103.99,249,107.54,3.07,8.27,11.84,-0.1888,13165.41,132.63,100.39,1.49,4.16,2.93,1.34
126,"Nanaimo, B.C.",103959,0.056,9.3,67894.09,32927.05,396032,367943,5.42,2.07,1436,0.0212,0.12,8611,0.1556,0.0063,6.32,1.54,2.85,1098.2,175.64,169.96,293.7,96.89,0,10.08,1.47,-0.0861,11837.56,105.71,90.12,1.65,4.06,2.6,1.76
127,"Longueuil, Que.",237900,0.019,7.5,69795.86,30072.05,217578,261556,3.75,2.3,1583,0.0227,0.1498,11302,0.1811,0.0134,3.94,1.58,21.78,798.56,164.56,119.8,205.9,117.5,19.38,6.15,13.88,-0.2373,5056.13,70.83,65.18,0.79,3.83,2.34,2.05
128,"Ajax, Ont.",120874,0.206,8.7,105024.43,48452.9,371009,404568,3.85,2.8,2912,0.0277,0.13,8694,0.1777,0.0182,2.52,0.2,14.03,766.13,145.68,122.66,239,100.48,2.73,8.12,9.56,-0.2675,3626.65,44.71,55.55,0.59,3.39,2.07,1.57
129,"Sault Ste. Marie, Ont.",83612,0.01,10.5,73739.87,38948.21,247852,209690,2.84,2.06,1546,0.021,0.13,8694,0.1719,0.0059,6.4,1.06,3.93,651.28,175.84,109.87,190.9,93.52,22.24,4.73,2.11,-0.1177,6727.49,91.06,69.54,1.32,4.02,1.81,1.21
130,"Oshawa, Ont",158987,0.058,10.8,80558.49,39207.42,268814,289861,3.6,2.63,2132,0.0265,0.13,8694,0.1764,0.0084,4.08,0.48,8.02,766.13,145.68,122.66,239,100.48,2.73,8.12,9.56,-0.2675,3626.65,44.71,55.55,0.67,3.08,1.47,1.64
131,"Ingersoll, Ont.",12849,0.043,6.9,76629.84,40373.16,252415,217908,2.84,2.77,2167,0.0283,0.13,8694,0.1524,0.0048,5.28,1.11,0.19,834.67,165.43,124.45,222.9,119.14,2.81,7.97,15.05,-0.1653,4991.94,55.59,45.73,0.86,2.9,0.78,1.29
132,"Belleville, Ont.",97078,0.019,7.7,72826.84,38758.55,250987,207153,2.84,2.41,1767,0.0243,0.13,8694,0.1488,0.0051,6.07,1.51,2.24,771.9,148.62,116.16,229.3,117.15,7.46,8.09,22.51,-0.1326,10286.86,108.67,111.78,1.26,3.37,1.95,1.19
133,"Squamish, B.C.",19383,0.111,8.2,86514.31,40610.68,384166,430593,4.98,2.15,1874,0.0217,0.12,8611,0.1228,0.0072,5.28,1.74,2.18,2125.55,183.87,177.34,290.4,93.5,0,9.74,0.47,-0.2926,11363.26,108.71,96.24,1.08,3.14,1.75,2.66
134,"St. Catharines, Ont",136665,0.005,9.7,72659.67,36822.09,292790,246055,3.39,2.57,1864,0.0257,0.13,8694,0.1472,0.0125,5.24,1.46,4.21,754.19,150.68,117.03,238.1,127.47,0.94,8.98,28.89,-0.1874,4978.1,63.53,54.05,1.38,3.68,1.37,1.67
135,"Cambridge, Ont",134255,0.046,8.3,87137.35,41995.38,332707,321792,3.69,2.79,2463,0.0283,0.13,8694,0.1646,0.0096,2.94,0.9,3.57,785.4,133.82,106.82,203.6,116.22,5.12,7.28,11.49,-0.1074,4992.24,58.05,60.75,0.78,3.23,1.48,1.25
136,"Leamington, Ont.",51792,0.007,6.6,73927.22,39733.58,317589,219791,2.97,2.32,1727,0.0234,0.13,8694,0.1399,0.008,7.42,1.1,0.17,814.23,129.33,111.14,246.1,123.67,1.17,9.58,36.73,-0.1903,4184.76,52.52,57.72,0.64,3.44,0.75,0.64
137,"Grand Falls-Windsor, Nfld.",13882,0.014,12.9,75975.84,39684.35,198383,193358,2.54,2.01,1550,0.0204,0.13,10198,0.1577,0.0046,7.35,0.37,0.74,806.05,159.13,122.45,183.1,69.37,11.64,4.45,0.64,-0.1217,4643.96,45.46,41.71,2.81,5.2,5.55,0.65
138,"Owen Sound, Ont.",33367,-0.007,8.2,69348.21,36507.7,322275,239285,3.45,2.35,1643,0.0237,0.13,8694,0.1696,0.0048,8.24,0.76,1.53,783.94,176.8,124.71,228.4,99.95,3.83,7.47,10.98,-0.1082,6478.28,58.39,56.47,1.32,4.71,3.24,1.56
139,"Wood Buffalo, Alta.",76957,0.25,4.7,187772.82,95295.63,368147,556548,2.96,2.49,4599,0.0245,0.05,9474,0.2841,0.0132,3.62,0.16,15,316.32,142.48,83.73,153.1,84.19,57.52,0.96,0.89,-0.474,12581.44,107.7,122.53,0.52,2.98,0.84,0.83
140,"Saint-J‚r“me, Que.",71609,0.06,7,61308.25,26575.28,176072,198024,3.23,2.27,1377,0.0225,0.1498,11302,0.2065,0.0101,5.98,1.41,1.81,864.69,143.68,111.29,197.1,103.28,23.83,5.47,7.59,-0.0863,7968.44,102.2,89.17,0.99,3.88,2.34,1.19
141,"Cranbrook, B.C.",26113,-0.001,7.1,75955.86,38862.82,362713,321557,4.23,2.06,1578,0.0208,0.12,8611,0.1391,0.0021,7.34,1.52,1.52,279.49,121.53,84.18,191.2,101.54,10,6.03,3.45,-0.1017,11741.73,105.66,98.49,0.92,3.73,3.41,1.2
142,"Mascouche, Que.",47000,0.263,4.9,82505.47,36934.94,214759,250327,3.03,2.69,2169,0.0263,0.1498,11302,0.2307,0.0109,1.61,0.67,4.34,827.38,158.26,123.08,204.7,118.02,21.1,6.42,22.18,0.1258,4924.84,69.24,72.28,0.32,3.86,2.34,1.41
143,"Penticton, B.C.",44294,0.034,8.5,63974.51,30150.32,447262,422462,6.6,2.18,1442,0.0225,0.12,8611,0.1052,0.0053,10.66,3.15,1.01,298.52,119.22,98.74,254.6,128.98,0.24,9.45,14.72,-0.027,14202.84,120.32,80.64,1.74,4.2,2.93,1.23
144,"Portage la Prairie, Man.",13470,0.034,4.7,61121.44,29660.56,206716,204788,3.35,2.06,1303,0.0213,0.13,11036,0.1241,0.0025,9.31,1.98,0.34,407.4,97.71,62.49,161,104.45,49.92,2.81,9.49,0.0555,23844.32,207.05,167.12,1.41,8.53,1.71,1.08
145,"Brockville, Ont.",40521,-0.016,7.2,74765.39,38975.17,344189,263837,3.53,2.4,1782,0.0238,0.13,8694,0.1661,0.0059,6.82,1.09,0.78,806.82,154.9,118.81,226.6,111.03,9.27,7.5,12.46,-0.2437,8529.35,78.4,77.54,1.06,4.74,1.97,1.14
146,"Port Hope, Ont.",16808,-0.014,8.5,81429.85,43453.65,345405,264204,3.24,2.77,2286,0.0281,0.13,8694,0.1657,0.0076,6.84,0.6,1.18,736.34,138.58,113.53,235.4,94.51,4.31,7.63,5.4,-0.116,4796.61,43.99,33.59,0.65,3.46,1.37,2.12
147,"Abbotsford - Mission, B.C.",180636,0.065,8.2,76888.38,34627.53,401988,406172,5.28,2.18,1701,0.0221,0.12,8611,0.1175,0.0078,3,0.71,1.62,1483.26,179.45,174.09,312.3,100.3,0,10.44,2.2,-0.393,5891.33,71.21,70.38,0.97,3.62,1.61,1.35
148,"Prince George, B.C.",88523,0.022,10,77441.73,40782.65,238649,233839,3.02,2.08,1612,0.0208,0.12,8611,0.141,0.0032,5.2,0.86,1.74,423.61,162.91,113.51,181.1,71.4,16.71,4.31,0.06,0.0779,17555.59,151.39,166.34,1.37,3.97,2.49,1.11
149,"Orillia, Ont.",42568,0,9.4,68764.77,34519.77,325896,270147,3.93,2.39,1659,0.0241,0.13,8694,0.219,0.0057,7.48,1.02,2.32,776.02,161.4,118.56,210,104.38,13.71,6.72,12.29,-0.2574,7684.23,75.06,85.54,1.57,3.43,2.89,1.71
150,"Haldimand County, Ont",46504,-0.002,6.6,80152.52,41073.51,366550,283728,3.54,2.82,2308,0.0288,0.13,8694,0.1179,0.0046,5.96,0.64,0.36,846.83,153.23,127.08,244.6,116.56,0.72,9.15,20.34,-0.0312,4368.95,53.8,45.27,0.37,4.56,1.43,1.44
151,"Saguenay, Que.",161878,0.035,7,67552.8,31229.59,159606,179805,2.66,2.43,1615,0.0239,0.1498,11302,0.2048,0.0084,4.81,0.73,2.29,663.75,198.36,122.13,175.5,86.8,46.58,2.79,3.93,-0.0049,5539.96,71.12,79.39,0.96,3.99,2.17,1.02
152,"Mirabel, Que.",45557,0.209,5.1,79021.25,34941.65,214984,246999,3.13,2.67,2085,0.0264,0.1498,11302,0.2208,0.0109,3.65,0.5,2.44,835.94,167.46,119.55,198.7,111.65,25.27,5.33,6.84,0.0277,3515.39,54.12,41.95,0.24,3.18,2.34,1.35
153,"Langley, B.C (City)",26779,0.056,6.7,65857.72,28991.45,241775,348925,5.3,1.81,1238,0.0188,0.12,8611,0.1413,0.011,5.88,0.98,5.65,1715.49,194.47,190.07,311.6,109,0,10.85,2.17,0.0245,16086.25,183.86,138.63,0.86,2.78,2.46,1.4
154,"Alma, Que.",34280,0.072,8.4,67674.22,33537.14,170914,155356,2.3,2.54,1684,0.0249,0.1498,11302,0.1917,0.0069,8.21,0.75,0.08,728.54,182.67,120.58,166.1,76,37.09,2.93,1.61,-0.1471,4558.95,52.34,35.27,1.05,3.84,2.16,0.56
155,"Thetford Mines, Que.",28498,0.023,5.7,55252.54,27865.62,192748,112275,2.03,2.38,1290,0.0233,0.1498,11302,0.1628,0.0052,6.58,0.54,0.66,945.46,186.89,126.93,195,82.94,21.92,4.55,2.41,0.0147,4546.88,53.9,53.29,1.33,4.28,2.11,0.82
156,"Drummondville, Que.",92259,0.079,7.6,60551.74,29280.84,186240,142959,2.36,2.31,1386,0.0229,0.1498,11302,0.1691,0.011,6.17,0.95,1.09,872.14,158.99,117.02,210,108.87,19.42,6.35,16.26,0.0107,6683.4,100.08,85.85,0.87,3.33,1.45,1.13
157,"Sept-Iles, Que.",29757,0.048,7.2,77754.13,35767.67,180002,212986,2.74,2.38,1834,0.0236,0.1498,11302,0.2212,0.0055,10.07,0.85,0.39,747.54,173.8,111.04,165.6,32.31,47.32,1.01,0,0.053,8307.86,106.22,112.23,0.37,3.64,2.12,1.12
158,"Temiskaming Shores, Ont.",14090,0.016,11.7,70076.56,38199.69,242398,185884,2.65,2.1,1527,0.0218,0.13,8694,0.1984,0.0036,11.89,0.31,1.31,576.47,169.36,104.65,168.2,93.38,52.9,2.58,5.05,-0.547,4475.68,40.27,62.44,0.78,3.36,1.92,0.65
159,"Sylvan Lake, Alta.",13561,0.221,7.1,102024.96,50064.64,460779,314632,3.08,2.23,2290,0.0224,0.05,9474,0.1698,0.0067,4.74,0.29,0.12,383.66,119.12,75.04,152.9,83.48,31.91,2.75,0,-0.1275,11081.97,96.38,82.31,0.74,4,2.3,1.22
160,"Quesnel, B.C.",23387,0.077,12.3,72163.9,38727.65,250224,186323,2.58,1.93,1406,0.0195,0.12,8611,0.1226,0.0027,4.81,0.87,0.55,394.29,150.7,110.75,188,93.68,12.89,5.48,0.07,-0.1775,25262.83,229.87,259.04,0.98,2.89,1.37,0.65
161,"Cowansville, Que.",12995,0.052,6.6,57885.1,26079.03,202989,209944,3.63,2.46,1400,0.0242,0.1498,11302,0.1817,0.0093,10.76,1.23,0.94,1025.9,182.03,130.73,187.1,107.32,25.83,5.4,4.26,-0.242,4514.2,64.26,50.4,1,3.63,3.92,0.89
162,"Windsor, Ont.",330623,-0.008,10.4,75446.61,38936.9,281565,209440,2.78,2.28,1732,0.023,0.13,8694,0.167,0.0088,3.8,1.2,2.6,822.35,149.54,119.99,248.9,138.85,1.16,9.87,54.3,-0.0931,14708.21,137.18,124.47,1.26,3.99,1.55,1.16
163,"Amos, Que.",17432,-0.001,8.2,73855,35902.65,196094,190963,2.59,2.64,1937,0.0262,0.1498,11302,0.2147,0.0029,11.26,0.25,0.65,675.66,151.36,105,162,73.75,53.1,1.45,1.8,0.0378,5215.48,77.29,131.07,0.92,6.05,4.07,0.97
164,"Georgina, Ont.",45951,0.023,8.4,79111.68,36518.94,297594,344549,4.36,2.88,2325,0.0294,0.13,8694,0.1422,0.0054,2.97,0.37,2.45,709.92,156.12,114.36,207.8,112.54,12.2,6.94,15.48,-0.1872,2806.5,35.83,39.07,0.44,2.64,2.07,1.42
165,"Duncan, B.C.",45828,0.046,8.4,67995.26,33765.47,394180,354684,5.22,2.16,1471,0.0216,0.12,8611,0.0827,0.0018,6.99,0.9,0.92,1449.85,202.45,197.89,294.4,100.11,0,10.03,0.96,-0.1334,15508.49,117.89,102.6,1.2,3.29,2.73,1.82
166,"Brampton, Ont",580672,0.174,9.5,93692.33,41088.97,371427,458496,4.89,2.66,2483,0.0265,0.13,8694,0.1599,0.0147,1.79,0.24,9.87,681.59,145.94,113.23,228.7,122.26,3.9,8.17,27.92,-0.1657,3271.38,47.49,57.11,0.59,2.41,2.07,1.12
167,"Val-d'Or, Que.",34397,0.043,7,74258.86,35283.53,197878,220638,2.97,2.47,1820,0.0245,0.1498,11302,0.1967,0.0069,8.73,1.05,0.41,639.39,196.84,115.05,160.9,79.45,63.33,1.38,2.68,-0.0017,7744.21,84.17,106.61,0.49,3.42,1.92,1.32
168,"Niagara Falls, Ont",86704,0.017,8.9,71163.52,35521.33,271765,245792,3.45,2.73,1968,0.0277,0.13,8694,0.142,0.01,5.13,1.26,2.6,820.37,170.66,132.05,240.8,124.49,1,9.16,36.46,-0.1874,4978.1,63.53,54.05,0.98,3.16,1.37,1.37
169,"Montr‚al, Que.",1688220,0.017,10,61741.62,24629.2,252242,393162,6.37,1.86,1124,0.0182,0.1498,11302,0.193,0.0274,8.44,2.31,34.4,798.56,164.56,119.8,205.9,117.5,19.38,6.15,13.88,-0.203,5786.98,91.83,119.32,0.66,3.52,2.34,3.41
170,"Powell River, B.C.",17399,0.009,8.2,63103.15,33195.5,287683,244040,3.87,2.18,1398,0.0222,0.12,8611,0.0689,0.0014,6.02,2.07,1.59,1048.94,179.13,176.3,322.8,77.82,0,10.79,0.64,-0.0432,9552.19,76.58,58.95,1.84,3.93,2.64,1
171,"Chilliwack, B.C.",98489,0.096,6.7,69649.49,34481.28,355373,324294,4.66,2.09,1487,0.0213,0.12,8611,0.1172,0.0047,4.41,1.07,0.98,1582.21,189.87,183.83,313.7,109.76,0,10.8,3,-0.1909,11021.86,114.59,93.45,0.62,2.55,0.51,1.22
172,"Kentville, N.S.",27043,0.019,10,63327.69,32699.33,233264,169250,2.67,1.95,1255,0.0198,0.15,11159,0.1861,0.005,5.06,0.27,2.08,930.81,166.58,129.01,217.7,94.94,2.95,7.08,3,0.0303,10559.11,105.2,72.68,1.77,3.94,3.92,1.54
173,"Cornwall, Ont.",61839,0.028,9.9,64362.25,34234.89,201638,170239,2.65,2.27,1477,0.0229,0.13,8694,0.1603,0.0057,7.02,0.81,2.06,831.33,150.11,114.92,224.1,119.94,9.26,7.6,25.55,-0.0754,9036.28,101.08,116.05,1.2,3.24,1.7,1.21
174,"Surrey, B.C",509857,0.177,7.9,86433.97,36979.12,516800,544823,6.3,2.28,1995,0.0231,0.12,8611,0.157,0.0175,2.46,0.33,10.45,1360.83,178.02,174.67,315.8,89.04,0,10.51,1.9,-0.1247,10356.34,123.85,130.19,0.61,3.5,2.46,1.39
175,"Campbell River, B.C.",38066,0.053,9.5,70141.96,35705.85,338717,303413,4.33,2.01,1417,0.0202,0.12,8611,0.123,0.003,5.3,1.25,2.41,1407.75,192.81,185.9,273.2,82.57,0.11,9.03,0.93,-0.1907,12175.65,89.58,76.8,1.84,2.67,2.6,0.97
176,"Salaberry-de-Valleyfield, Que.",41247,0.031,8.3,59690.8,27581.23,189986,182478,3.06,2.3,1347,0.0226,0.1498,11302,0.1746,0.0072,5.5,1.8,1.18,794.66,150.94,117.3,211.7,113.4,13.76,6.77,17.66,0.0484,7741.06,90.75,88.35,0.48,4.09,2.55,0.88
177,"Parksville, B.C.",28992,0.047,8.8,65323.07,33890.73,586213,401502,6.15,2.3,1599,0.0245,0.12,8611,0.1117,0.0053,7.51,2.28,1.03,1093.24,173.41,167.62,263.6,91.01,0,9.18,0.22,-0.4026,8398.67,73.24,41,1.24,2.94,1.79,1.24
178,"Norfolk, Ont.",65656,0.018,8.7,74181.21,39110.59,375060,269632,3.63,2.67,1995,0.0269,0.13,8694,0.1195,0.0056,6.22,0.74,0.5,906.39,148.26,116.94,217,121.98,4.13,7.98,17.15,-0.1929,4678.88,51.08,40.25,0.65,3.55,0.78,0.95
179,"Bathurst, N.B.",33984,-0.006,11.9,64540.57,34623.71,128918,91263,1.41,2.27,1462,0.0227,0.13,10725,0.1887,0.0069,5.57,0.71,0.55,772.34,167.48,129.14,187,82.03,21.72,4.57,6.78,-0.1157,8112.39,92.33,50.12,1,5.03,3.27,0.66
180,"Welland, Ont",52806,0.013,9.5,67062.22,33863.32,207314,190489,2.84,2.74,1855,0.0277,0.13,8694,0.1351,0.0056,4.77,1.25,1.53,855.8,151.77,125.91,226.5,125.67,2.72,8.75,20.55,-0.1874,4978.1,63.53,54.05,0.91,3.18,1.37,0.97
181,"Edmundston, N.B.",22211,-0.016,10.2,58558.14,29909.29,147996,126039,2.15,2.5,1448,0.0247,0.13,10725,0.2052,0.0056,5.67,0.44,0.35,753.02,128.33,94.37,169.8,92.6,36.05,3.63,1.36,-0.0145,6375.49,73.62,51.22,0.99,5.25,4.05,0.98
182,"Chatham-Kent, Ont.",105739,-0.048,10.2,68023.88,35848.5,260677,164749,2.42,2.45,1697,0.0249,0.13,8694,0.1384,0.0059,5.39,1.28,0.8,803.14,137.07,117.95,246.9,132.09,1.42,9.75,46.68,-0.1415,6671.85,89.36,55.16,0.78,3.44,1.08,0.96
183,Campbellton (N.B./Que.),18148,0.028,17.4,56143.17,29399.75,121578,94024,1.67,2.1,1171,0.0209,0.13,10725,0.2051,0.0053,7.44,0.62,0.26,685.6,161.3,113.27,175.6,76.82,27.84,3.43,2.44,0.0687,11277.12,113.03,79.66,0.94,6.18,3.31,0.85
184,"Prince Albert, Sask.",44754,0.036,9.7,79216.63,35989.99,298294,347536,4.39,1.95,1577,0.0199,0.1,10195,0.1485,0.0038,6.12,0.95,0.54,327.22,121.34,74.82,156.2,94.29,58.39,1.44,2.72,-0.1238,17117.41,203.21,217.47,2.19,4.95,2.52,0.96
185,"Summerside, PEI",16697,0.024,12.5,61894.7,31402.37,150216,146670,2.37,1.89,1191,0.0192,0.14,11117,0.153,0.0026,6.51,0.89,0.12,809.11,177.93,132.87,206.5,76.74,5.91,5.74,0.43,0.0843,14020.45,135.36,89.03,2.16,4.64,3.11,1.04
186,"Williams Lake, B.C.",19443,-0.006,11.5,69731.58,37384.24,213356,203818,2.92,1.83,1271,0.0182,0.12,8611,0.1449,0.0023,6.16,1.14,0.98,307.55,137.37,89.39,179.1,71.07,14.19,4.52,0.12,-0.1422,30984.74,241.23,272.53,1.03,3.49,2.52,0.74
187,"Bay Roberts, Nfld.",11072,0.041,15.5,77554.67,41646.87,201051,184168,2.37,1.94,1524,0.0197,0.13,10198,0.2057,0.0038,5.8,-,1.01,1014.99,158.09,137.26,213,60.33,1.05,6.28,0.16,0.2116,3842.05,39.4,29.53,0.45,2.83,0.63,1.01
188,"Elliot Lake, Ont.",11615,-0.015,16.6,53699.17,29893.23,132866,105136,1.96,2.01,1149,0.0214,0.13,8694,0.1827,0.0024,14.01,1.1,1.51,782.65,137.33,95.08,189,92.29,18.72,4.86,1.54,-0.1256,5496.65,64.76,70.66,0.34,3.52,1.29,1.24
189,"Miramichi, N.B.",28520,-0.008,16.1,63087.83,33164.59,153430,106491,1.69,1.9,1212,0.0192,0.13,10725,0.1965,0.0033,5.38,0.24,0.38,793.86,161.68,123.86,183.1,97.15,24.39,4.87,5.89,-0.1832,6559.33,62.42,44.31,1.26,4.24,2.42,0.75
190,"Kawartha Lakes, Ont.",75515,-0.016,8.5,75967.66,39511.29,374580,281322,3.7,2.52,1942,0.0256,0.13,8694,0.1515,0.0044,5.3,0.68,0.55,712.54,160.25,119.97,195,117.2,17.08,6.22,6.84,-0.3691,9643.52,90.93,119.87,0.7,3.89,1.03,1.14
191,"Truro, N.S.",47021,0.012,10.3,63462.54,33260.13,204625,161810,2.55,1.84,1191,0.0188,0.15,11159,0.1786,0.0061,7.97,0.47,0.24,979.48,175.22,140.42,197.1,90.13,9.66,6.03,0.86,-0.2126,13266.69,112.32,91.84,1.08,3.5,2.19,1.04
192,"Shawinigan, Que.",55500,-0.007,8.2,53338.74,25955.13,159004,128249,2.4,2.31,1220,0.0229,0.1498,11302,0.1445,0.0052,7.39,0.6,1.55,863.88,161.11,119.51,196.6,104.15,27.11,5.23,8.24,-0.1212,6910.38,82.56,79.38,1.24,3.88,2.32,0.7
