RANK,CITY,POPULATION,POPULATION GROWTH 2008 TO 2013,UNEMPLOYMENT RATE (%),AVERAGE HOUSEHOLD INCOME,AVERAGE DISCRETIONARY INCOME,AVERAGE HOUSEHOLD NET WORTH,AVERAGE HOUSE PRICES,AVERAGE YEARS TO BUY A HOME,PROPERTY TAX (%),AVERAGE PROPERTY TAX,PROPERTY TAX AS A OF AVERAGE HOUSEHOLD INCOME,SALES TAX,INCOME TAX ($),NEW CARS,NEW LUXURY CARS,WALK TO WORK (%),BIKE TO WORK (%),TAKE PUBLIC TRANSIT TO WORK (%),TOTAL RAINFALL (mm),DAYS PER YEAR WITH PRECIPITATION,DAYS PER YEAR WITH RAIN,DAYS ABOVE 0C,DAYS ABOVE 20C,DAYS BELOW MINUS 20C,MEAN DAILY TEMP.,DAYS ABOVE 24C,FIVE-YEAR CHANGE IN CRIME RATE,"CRIME RATE PER 100,000",CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NUMBER OF MEDICAL OFFICES PER '000,EMPLOYED IN HEALH CARE (%),DOCTORS PER '000,EMPLOYED IN ARTS & REC (%)
61,"Richmond, B.C",205819,0.091,7.1,79168.76,31108.5,703240,700346,8.85,2.3,1920,0.0243,0.12,8611,0.2509,0.0551,3.81,1.37,11.64,1227.79,183.84,180.42,305.3,99.52,0,10.55,0.33,-0.1731,6550.88,78.9,59.53,0.78,2.99,2.46,1.98
62,"Chƒteauguay, Que.",48110,0.086,7.8,74579.61,34162.98,209999,220808,2.96,2.47,1812,0.0243,0.1498,11302,0.1703,0.0082,4.04,0.8,11.77,784.93,163.32,119.11,217.5,117.05,14.26,6.75,17.55,-0.0969,4055.53,48.85,46.3,0.48,4.36,2.34,1.47
63,"Kitchener, Ont",234137,0.067,7.1,80812.04,38873.25,301924,307463,3.8,2.5,2042,0.0253,0.13,8694,0.1604,0.0118,4.28,1.13,5.72,776.77,165.97,118.73,207.6,115.67,5.99,7.01,9.8,-0.1074,4992.24,58.05,60.75,1.04,3.09,1.48,1.54
64,"Salmon Arm, B.C.",18658,0.068,7.8,65631.79,33584.13,467043,310215,4.73,2.12,1396,0.0213,0.12,8611,0.1025,0.0021,9.68,1.47,0.59,468.87,137.96,105.54,213.5,104.5,3.97,7.4,3.56,0.0502,9223.9,77.31,59.36,2.36,4.23,3.48,1.63
65,"Port Moody, B.C",35508,0.144,7.1,100851.03,42235.93,585771,597965,5.93,2.17,2182,0.0216,0.12,8611,0.1748,0.0304,3.24,0.36,14.04,1913.19,170.41,166.52,304.3,72.48,0,10.2,2.27,-0.1925,4795.82,54.68,67.22,0.2,4.22,2.46,3.21
66,"Moose Jaw, Sask.",35313,0.022,5.5,74332.93,36756.03,290600,247199,3.33,1.97,1509,0.0203,0.1,10195,0.1229,0.0045,6.43,1.6,0.57,274.1,110.16,66.69,176.6,115.14,36.73,4.23,13.22,-0.1189,12465.94,105.25,55.11,1.08,5.08,2.12,1.53
67,"Pickering, Ont",94121,0.023,8.4,111011.26,53755.77,515270,436068,3.93,2.98,3175,0.0286,0.13,8694,0.1748,0.018,2.65,0.22,13.11,766.13,145.68,122.66,239,100.48,2.73,8.12,9.56,-0.2675,3626.65,44.71,55.55,0.46,3.37,2.07,2.17
68,"Saint-Eustache, Que.",45574,0.051,5.4,76948.95,34963.68,232920,231530,3.01,2.52,1895,0.0246,0.1498,11302,0.2205,0.0127,3.26,1.31,5.47,915.36,166.06,128.95,201.6,110.74,22.71,5.94,8.59,-0.2175,5238.03,61.44,46.39,0.72,4.1,2.34,1.26
69,"Laval, Que.",420226,0.093,6.8,78128.1,34442.76,321887,298821,3.82,2.56,1961,0.0251,0.1498,11302,0.2093,0.0252,2.69,0.49,13.45,790.42,152,117.51,213.4,110.44,19.78,6.44,17.43,-0.0769,4485.04,60.6,71.55,0.5,3.77,2.34,1.69
70,"Greater Sudbury, Ont.",166817,0.01,7.8,82966.49,42780.11,275308,240525,2.9,2.11,1771,0.0213,0.13,8694,0.181,0.0073,5.69,0.62,4.89,675.67,166.87,107.56,186.8,95.6,31.51,4.1,5.41,-0.0578,5560.17,71.66,75.37,0.88,3.96,2.03,1.33
71,Lloydminster (Sask./Alta.),33788,0.101,4.4,104495.53,51768.49,477122,311723,2.98,2.07,2183,0.0209,0.05,9474,0.209,0.0091,4.54,0.56,0.24,316.74,114.22,68,162.9,83.06,40.91,2.03,1.31,0.0113,17596.72,146.42,143.51,0.89,3.05,1.72,1.35
